Top Ranking															
	Market ALL (SET+mai)														
Rank By :	% Change														
Period :	Daily  09/01/2019 To 09/01/2019														
Rank	Symbol	Prior	High	Low	Close	% Change	AOM Volume (Shares)	AOM Value (Baht)	Total Volume (Shares)	Total Value (Baht)	Turnover Ratio (%)	Market Capital (Baht)	P/E* (Times)	P/BV* (Times)	Dividend Yield (%)
1	TU11C1902A	0.01	0.03	0.03	0.03	200	"100,100.00"	"3,003.00"	"100,100.00"	"3,003.00"	0.23	"1,281,000.00"	-	-	-
2	TU19C1901A	0.02	0.05	0.05	0.05	150	"139,000.00"	"6,950.00"	"139,000.00"	"6,950.00"	0.12	"6,000,000.00"	-	-	-
3	TU06C1902A	0.05	0.12	0.11	0.11	120	"1,345,000.00"	"153,650.00"	"1,345,000.00"	"153,650.00"	2.24	"6,600,000.00"	-	-	-
4	KCE01C1903B	0.01	0.02	0.02	0.02	100	"79,400.00"	"1,588.00"	"79,400.00"	"1,588.00"	0.17	"961,400.00"	-	-	-
5	BCH13C1902A	0.01	0.02	0.01	0.02	100	"10,100.00"	102	"10,100.00"	102	0.01	"2,400,000.00"	-	-	-
6	DTAC06C1901A	0.01	0.02	0.02	0.02	100	"200,100.00"	"4,002.00"	"200,100.00"	"4,002.00"	0.33	"1,200,000.00"	-	-	-
7	KCE11C1904A	0.02	0.04	0.04	0.04	100	100	4	100	4	N/A	"2,968,000.00"	-	-	-
8	CPAL11C1903A	0.01	0.02	0.01	0.02	100	"117,000.00"	"1,292.00"	"117,000.00"	"1,292.00"	0.13	"1,800,000.00"	-	-	-
9	CBG11C1902A	0.01	0.02	0.02	0.02	100	100	2	100	2	N/A	"592,000.00"	-	-	-
10	BANP11C1902A	0.01	0.02	0.01	0.02	100	"1,280,100.00"	"25,502.00"	"1,280,100.00"	"25,502.00"	1.71	"1,500,000.00"	-	-	-
11	MILL-W3	0.01	0.02	0.02	0.02	100	300	6	300	6	N/A	"12,513,935.64"	-	-	-
12	AJA-W1	0.07	0.12	0.07	0.12	71.43	"17,372,300.00"	"1,781,339.00"	"17,372,300.00"	"1,781,339.00"	2.32	"89,995,677.12"	-	-	-
13	SGP19C1904A	0.03	0.05	0.05	0.05	66.67	"2,000.00"	100	"2,000.00"	100	N/A	"6,000,000.00"	-	-	-
14	KBAN28C1904A	0.05	0.08	0.08	0.08	60	"1,000.00"	80	"1,000.00"	80	N/A	"5,600,000.00"	-	-	-
15	TU13C1902A	0.05	0.1	0.08	0.08	60	"6,914,100.00"	"606,092.00"	"6,914,100.00"	"606,092.00"	5.76	"9,600,000.00"	-	-	-
16	TU01C1901B	0.22	0.36	0.31	0.34	54.55	"9,655,500.00"	"3,343,068.00"	"9,655,500.00"	"3,343,068.00"	5.25	"62,471,600.00"	-	-	-
17	SIRI24C1906A	0.02	0.03	0.03	0.03	50	"99,900.00"	"2,997.00"	"99,900.00"	"2,997.00"	0.2	"1,500,000.00"	-	-	-
18	WORK13C1903A	0.02	0.03	0.03	0.03	50	"600,000.00"	"18,000.00"	"600,000.00"	"18,000.00"	0.5	"3,600,000.00"	-	-	-
19	KCE01C1903A	0.02	0.03	0.03	0.03	50	"9,496,500.00"	"284,895.00"	"9,496,500.00"	"284,895.00"	17.38	"1,638,900.00"	-	-	-
20	AP01C1903A	0.02	0.03	0.03	0.03	50	200	6	200	6	N/A	"1,235,100.00"	-	-	-
21	RS13C1901A	0.02	0.03	0.03	0.03	50	"100,000.00"	"3,000.00"	"100,000.00"	"3,000.00"	0.08	"3,600,000.00"	-	-	-
22	TSF <C >	0.02	0.03	0.02	0.03	50	"10,107,500.00"	"242,304.00"	"10,107,635.00"	"242,306.44"	0.15	"203,122,764.15"	N/A	N/A	N/A
23	TU24C1904A	0.15	0.24	0.22	0.22	46.67	"88,600.00"	"20,378.00"	"88,600.00"	"20,378.00"	0.18	"11,000,000.00"	-	-	-
24	BDMS42P1904A	0.16	0.25	0.15	0.23	43.75	"5,992,800.00"	"1,355,916.00"	"5,992,800.00"	"1,355,916.00"	9.99	"13,800,000.00"	-	-	-
25	NOBLE-F	10.9	15.2	15.2	15.2	39.45	"10,000.00"	"152,000.00"	"10,000.00"	"152,000.00"	0.15	"7,166,597,447.50"	14.73	1.07	1.08
26	TU11C1906A	0.08	0.12	0.11	0.11	37.5	"2,483,600.00"	"273,226.00"	"2,483,600.00"	"273,226.00"	4.65	"5,874,000.00"	-	-	-
27	ORI24C1905A	0.11	0.16	0.15	0.15	36.36	"1,255,000.00"	"196,250.00"	"1,255,000.00"	"196,250.00"	2.51	"7,500,000.00"	-	-	-
28	BH01P1905A	0.61	0.87	0.6	0.82	34.43	"44,601,100.00"	"33,268,450.00"	"44,601,100.00"	"33,268,450.00"	53.89	"67,871,400.00"	-	-	-
29	PSL19C1903A	0.03	0.04	0.04	0.04	33.33	"180,000.00"	"7,200.00"	"180,000.00"	"7,200.00"	0.15	"4,800,000.00"	-	-	-
30	SCB13C1902A	0.03	0.04	0.04	0.04	33.33	"345,100.00"	"13,804.00"	"345,100.00"	"13,804.00"	0.29	"4,800,000.00"	-	-	-
31	CENT08C1902A	0.03	0.04	0.04	0.04	33.33	"654,200.00"	"26,168.00"	"654,200.00"	"26,168.00"	0.82	"3,200,000.00"	-	-	-
32	AOT19C1901A	0.09	0.12	0.1	0.12	33.33	"6,252,500.00"	"690,175.00"	"6,252,500.00"	"690,175.00"	5.21	"14,400,000.00"	-	-	-
33	KCE24C1906A	0.3	0.39	0.32	0.39	30	"270,100.00"	"100,589.00"	"270,100.00"	"100,589.00"	0.54	"19,500,000.00"	-	-	-
34	SPRC19C1905A	0.07	0.1	0.08	0.09	28.57	"1,790,000.00"	"157,110.00"	"1,790,000.00"	"157,110.00"	1.49	"10,800,000.00"	-	-	-
35	BLA11C1909A	0.07	0.09	0.09	0.09	28.57	"110,200.00"	"9,918.00"	"110,200.00"	"9,918.00"	0.49	"2,025,000.00"	-	-	-
36	AJA	0.14	0.18	0.14	0.18	28.57	"121,248,100.00"	"19,919,029.00"	"121,248,268.00"	"19,919,056.78"	2.86	"763,253,053.92"	N/A	0.63	N/A
37	BDMS01P1905A	0.29	0.41	0.28	0.37	27.59	"66,824,200.00"	"24,925,324.00"	"66,824,200.00"	"24,925,324.00"	71.33	"34,661,600.00"	-	-	-
38	TU01C1901A	0.4	0.54	0.5	0.51	27.5	"4,626,600.00"	"2,432,536.00"	"4,626,600.00"	"2,432,536.00"	3	"78,708,300.00"	-	-	-
39	PTG24C1904A	0.11	0.14	0.14	0.14	27.27	"90,000.00"	"12,600.00"	"90,000.00"	"12,600.00"	0.18	"7,000,000.00"	-	-	-
40	BBL42C1903A	0.11	0.14	0.14	0.14	27.27	"816,000.00"	"114,240.00"	"816,000.00"	"114,240.00"	1.36	"8,400,000.00"	-	-	-
41	TU19C1906A	0.31	0.41	0.39	0.39	25.81	"4,966,700.00"	"1,976,718.00"	"4,966,700.00"	"1,976,718.00"	4.14	"46,800,000.00"	-	-	-
42	SPRC13C1905A	0.08	0.1	0.1	0.1	25	"104,900.00"	"10,490.00"	"104,900.00"	"10,490.00"	0.09	"12,000,000.00"	-	-	-
43	KCE13C1904A	0.04	0.05	0.04	0.05	25	"1,607,800.00"	"64,454.00"	"1,607,800.00"	"64,454.00"	1.34	"6,000,000.00"	-	-	-
44	PRM13C1904A	0.04	0.05	0.05	0.05	25	"400,000.00"	"20,000.00"	"400,000.00"	"20,000.00"	0.33	"6,000,000.00"	-	-	-
45	ESSO13C1903A	0.04	0.05	0.05	0.05	25	"7,000.00"	350	"7,000.00"	350	0.01	"6,000,000.00"	-	-	-
46	BPP01C1903B	0.04	0.05	0.05	0.05	25	100	5	100	5	N/A	"4,365,500.00"	-	-	-
47	GLOB24C1903A	0.04	0.05	0.05	0.05	25	"100,000.00"	"5,000.00"	"100,000.00"	"5,000.00"	0.2	"2,500,000.00"	-	-	-
48	INTU01C1903B	0.04	0.05	0.05	0.05	25	"1,000.00"	50	"1,000.00"	50	N/A	"2,603,000.00"	-	-	-
49	SUPER-W4	0.04	0.05	0.04	0.05	25	"14,584,500.00"	"701,306.00"	"14,584,504.00"	"701,306.08"	0.27	"273,484,153.85"	-	-	-
50	KCE28C1905A	0.17	0.22	0.18	0.21	23.53	"9,495,200.00"	"1,919,154.00"	"9,495,200.00"	"1,919,154.00"	7.14	"27,930,000.00"	-	-	-
51	SAWA24C1902A	0.39	0.48	0.48	0.48	23.08	"5,000.00"	"2,400.00"	"5,000.00"	"2,400.00"	0.01	"24,000,000.00"	-	-	-
52	AOT28C1902A	0.22	0.27	0.25	0.27	22.73	"3,104,600.00"	"807,796.00"	"3,104,600.00"	"807,796.00"	4.44	"18,900,000.00"	-	-	-
53	KCE11C1906A	0.23	0.29	0.24	0.28	21.74	"1,334,000.00"	"351,458.00"	"1,334,000.00"	"351,458.00"	1.48	"25,200,000.00"	-	-	-
54	KCE08C1905A	0.23	0.29	0.23	0.28	21.74	"5,361,800.00"	"1,402,380.00"	"5,361,800.00"	"1,402,380.00"	6.7	"22,400,000.00"	-	-	-
55	KCE01C1906B	0.23	0.29	0.24	0.28	21.74	"14,008,200.00"	"3,737,529.00"	"14,008,200.00"	"3,737,529.00"	14.01	"28,000,000.00"	-	-	-
56	SIRI28C1904A	0.05	0.06	0.05	0.06	20	"12,000.00"	620	"12,000.00"	620	0.02	"4,620,000.00"	-	-	-
57	TOA24C1904A	0.15	0.18	0.18	0.18	20	100	18	100	18	N/A	"9,000,000.00"	-	-	-
58	PSH08C1904A	0.05	0.06	0.06	0.06	20	"69,200.00"	"4,152.00"	"69,200.00"	"4,152.00"	0.09	"4,800,000.00"	-	-	-
59	BCP01C1903B	0.05	0.06	0.06	0.06	20	100	6	100	6	N/A	"2,758,800.00"	-	-	-
60	PTTE42C1903A	0.1	0.12	0.12	0.12	20	"408,000.00"	"48,960.00"	"408,000.00"	"48,960.00"	0.68	"7,200,000.00"	-	-	-
61	PTT19C1901A	0.05	0.08	0.06	0.06	20	"1,861,100.00"	"127,110.00"	"1,861,100.00"	"127,110.00"	1.55	"7,200,000.00"	-	-	-
62	MINT19C1901A	0.05	0.06	0.06	0.06	20	"60,000.00"	"3,600.00"	"60,000.00"	"3,600.00"	0.05	"7,200,000.00"	-	-	-
63	PTT06C1901A	0.05	0.07	0.06	0.06	20	"1,193,000.00"	"73,080.00"	"1,193,000.00"	"73,080.00"	1.99	"3,600,000.00"	-	-	-
64	KCE19C1906A	0.31	0.38	0.32	0.37	19.35	"4,650,000.00"	"1,641,926.00"	"4,650,000.00"	"1,641,926.00"	3.88	"44,400,000.00"	-	-	-
65	BCH-F	14.1	16.8	16.8	16.8	19.15	"20,000.00"	"336,000.00"	"20,000.00"	"336,000.00"	1.62	"39,401,218,147.20"	35.86	7.25	1.27
66	BANP08P1901A	0.21	0.25	0.18	0.25	19.05	"5,270,400.00"	"1,145,024.00"	"5,270,400.00"	"1,145,024.00"	6.59	"20,000,000.00"	-	-	-
67	KCE13C1905A	0.16	0.2	0.16	0.19	18.75	"6,382,400.00"	"1,160,183.00"	"6,382,400.00"	"1,160,183.00"	5.32	"22,800,000.00"	-	-	-
68	PTTE24C1904A	0.17	0.2	0.19	0.2	17.65	"20,800.00"	"3,960.00"	"20,800.00"	"3,960.00"	0.04	"10,000,000.00"	-	-	-
69	AOT13C1902A	0.17	0.2	0.19	0.2	17.65	"3,221,000.00"	"641,527.00"	"3,221,000.00"	"641,527.00"	2.68	"24,000,000.00"	-	-	-
