Top Ranking															
	Market ALL (SET+mai)														
Rank By :	% Change														
Period :	Daily  10/01/2019 To 10/01/2019														
Rank	Symbol	Prior	High	Low	Close	% Change	AOM Volume (Shares)	AOM Value (Baht)	Total Volume (Shares)	Total Value (Baht)	Turnover Ratio (%)	Market Capital (Baht)	P/E* (Times)	P/BV* (Times)	Dividend Yield (%)
22	AP13C1904A	0.08	0.1	0.09	0.1	25	"649,200.00"	"59,844.00"	"649,200.00"	"59,844.00"	0.54	"12,000,000.00"	-	-	-
23	QH19C1904A	0.08	0.11	0.08	0.1	25	"4,160,000.00"	"412,500.00"	"4,160,000.00"	"412,500.00"	3.47	"12,000,000.00"	-	-	-
24	TU13C1902A	0.08	0.11	0.09	0.1	25	"4,771,200.00"	"472,133.00"	"4,771,200.00"	"472,133.00"	3.98	"12,000,000.00"	-	-	-
25	CPAL08C1902A	0.04	0.05	0.05	0.05	25	"30,000.00"	"1,500.00"	"30,000.00"	"1,500.00"	0.04	"4,000,000.00"	-	-	-
26	CPF08C1901A	0.04	0.05	0.04	0.05	25	"870,100.00"	"34,805.00"	"870,100.00"	"34,805.00"	1.09	"4,000,000.00"	-	-	-
27	CENT11C1904A	0.04	0.05	0.05	0.05	25	500	25	500	25	N/A	"1,640,000.00"	-	-	-
28	MPG <C >	0.16	0.2	0.16	0.2	25	"3,802,000.00"	"716,707.00"	"3,802,000.00"	"716,707.00"	0.39	"195,550,736.80"	N/A	3.21	N/A
29	HANA28C1904A	0.09	0.11	0.1	0.11	22.22	"2,574,100.00"	"262,041.00"	"2,574,100.00"	"262,041.00"	3.14	"9,020,000.00"	-	-	-
30	CPAL01C1901A	0.09	0.12	0.09	0.11	22.22	"15,087,100.00"	"1,638,793.00"	"15,087,100.00"	"1,638,793.00"	10.06	"16,500,000.00"	-	-	-
31	KBAN19P1904A	0.64	0.81	0.62	0.78	21.88	"20,568,800.00"	"15,378,778.00"	"20,568,800.00"	"15,378,778.00"	17.14	"93,600,000.00"	-	-	-
32	KBAN01P1901A	1.01	1.29	0.99	1.23	21.78	"8,051,600.00"	"9,711,130.00"	"8,051,600.00"	"9,711,130.00"	21.89	"45,239,400.00"	-	-	-
33	DTAC01P1905A	0.8	1.18	0.78	0.97	21.25	"32,728,100.00"	"33,805,102.00"	"32,728,100.00"	"33,805,102.00"	52.79	"60,140,000.00"	-	-	-
34	PIMO-W1	0.99	1.26	0.77	1.2	21.21	"97,890,100.00"	"103,707,223.00"	"97,890,120.00"	"103,707,240.80"	95.21	"123,383,853.60"	-	-	-
