Top Ranking															
	Market ALL (SET+mai)														
Rank By :	% Change														
Period :	Daily  10/01/2019 To 10/01/2019														
Rank	Symbol	Prior	High	Low	Close	% Change	AOM Volume (Shares)	AOM Value (Baht)	Total Volume (Shares)	Total Value (Baht)	Turnover Ratio (%)	Market Capital (Baht)	P/E* (Times)	P/BV* (Times)	Dividend Yield (%)
395	TGOLDETF	3.81	3.85	3.84	3.84	0.79	"10,100.00"	"38,786.00"	"10,100.00"	"38,786.00"	N/A	"3,734,609,322.24"	-	0.99	N/A
396	SPG	13	13.1	13	13.1	0.77	200	"2,610.00"	200	"2,610.00"	N/A	"4,519,500,000.00"	12.38	0.92	6.11
397	PATO	12.9	13	12.9	13	0.78	"54,200.00"	"701,430.00"	"54,200.00"	"701,430.00"	0.04	"1,850,836,000.00"	12.14	3.34	9.46
398	LEE	2.56	2.58	2.56	2.58	0.78	"11,700.00"	"29,974.00"	"11,701.00"	"29,976.68"	N/A	"2,379,225,047.58"	20.44	0.94	7.36
399	BTW	1.31	1.32	1.3	1.32	0.76	"40,100.00"	"52,152.00"	"40,100.00"	"52,152.00"	0.01	"997,920,000.00"	35.38	0.73	5.3
400	MTI	97.75	98.5	98.5	98.5	0.77	100	"9,850.00"	101	"9,949.00"	N/A	"5,811,500,000.00"	13.17	1.07	4.37
401	L&E	2.6	2.66	2.58	2.62	0.77	"121,400.00"	"317,086.00"	"121,400.00"	"317,086.00"	0.02	"1,289,144,993.88"	12.47	1.08	4.58
402	TOA	33.25	33.5	32.75	33.5	0.75	"638,900.00"	"21,188,000.00"	"638,953.00"	"21,189,763.00"	0.03	"67,971,500,000.00"	36.67	7.53	0.42
403	CBG	33	33.5	32.5	33.25	0.76	"1,582,000.00"	"52,268,425.00"	"1,582,290.00"	"52,277,978.25"	0.16	"33,250,000,000.00"	38.89	4.99	2.56
404	A	6.6	6.65	6.6	6.65	0.76	"58,600.00"	"388,940.00"	"58,601.00"	"388,946.90"	0.01	"6,517,000,000.00"	69.18	1.92	0.6
405	TIC	32.75	33	33	33	0.76	500	"16,500.00"	500	"16,500.00"	N/A	"775,476,339.00"	N/A	1.22	3.03
406	SC	2.66	2.68	2.64	2.68	0.75	"4,111,600.00"	"10,934,852.00"	"4,111,871.00"	"10,935,563.84"	0.1	"11,201,393,692.16"	6.78	0.72	4.48
407	EPCO	2.68	2.74	2.7	2.7	0.75	"863,500.00"	"2,335,618.00"	"863,526.00"	"2,335,677.52"	0.09	"2,488,246,668.00"	11.38	1.13	3.65
408	MCS	6.85	7	6.85	6.9	0.73	"494,000.00"	"3,429,460.00"	"494,001.00"	"3,429,467.35"	0.1	"3,450,000,000.00"	5.29	1.22	8.28
409	SSSC	2.72	2.74	2.72	2.74	0.74	"79,400.00"	"216,896.00"	"79,400.00"	"216,896.00"	0.01	"1,753,594,191.20"	9.33	0.62	6.02
410	J	1.38	1.39	1.39	1.39	0.72	300	417	300	417	N/A	"668,377,346.68"	N/A	0.73	N/A
411	DELTA	68.5	69.25	68	69	0.73	"1,023,500.00"	"70,438,575.00"	"1,023,561.00"	"70,442,737.00"	0.08	"86,069,331,366.00"	15.76	2.59	3.19
412	ERW	6.85	6.9	6.8	6.9	0.73	"2,097,100.00"	"14,382,385.00"	"2,097,126.00"	"14,382,563.10"	0.08	"17,303,239,779.00"	33.42	3.25	1.3
413	TSTE	7	7.05	7.05	7.05	0.71	"5,100.00"	"35,955.00"	"5,100.00"	"35,955.00"	N/A	"2,702,456,626.05"	15.1	0.93	0.99
414	MVP	1.43	1.48	1.42	1.44	0.7	"262,400.00"	"377,140.00"	"262,401.00"	"377,141.50"	0.13	"288,000,000.00"	N/A	1.82	N/A
415	TPLAS	1.48	1.5	1.48	1.49	0.68	"194,200.00"	"288,387.00"	"194,200.00"	"288,387.00"	0.07	"402,300,000.00"	16.85	1.39	N/A
416	ALT	2.96	3	2.94	2.98	0.68	"103,900.00"	"307,242.00"	"103,900.00"	"307,242.00"	0.01	"3,027,692,516.00"	N/A	1.88	1.33
417	WHA-W1	7.3	7.5	7.3	7.35	0.68	"145,300.00"	"1,072,145.00"	"145,300.00"	"1,072,145.00"	0.13	"850,170,927.90"	-	-	-
418	SF	7.35	7.5	7.3	7.4	0.68	"711,600.00"	"5,254,885.00"	"711,650.00"	"5,255,254.15"	0.04	"13,146,895,803.40"	7.12	1.23	3.38
419	TICON	14.6	14.9	14.7	14.7	0.68	"6,600.00"	"98,170.00"	"6,600.00"	"98,170.00"	N/A	"26,961,892,912.50"	30.76	1.06	2.52
420	JCK	1.51	1.53	1.5	1.52	0.66	"62,200.00"	"93,640.00"	"62,200.00"	"93,640.00"	N/A	"3,263,491,894.32"	N/A	1.38	N/A
421	TIPCO	7.45	7.5	7.45	7.5	0.67	"31,100.00"	"232,270.00"	"31,132.00"	"232,507.95"	0.01	"3,619,347,300.00"	92.56	0.89	10
422	IHL	7.6	7.65	7.55	7.65	0.66	"115,100.00"	"875,485.00"	"115,100.00"	"875,485.00"	0.02	"4,234,427,388.00"	15.29	2.77	5.95
423	BAY	37.5	38	37.5	37.75	0.67	"96,700.00"	"3,640,350.00"	"96,700.00"	"3,640,350.00"	N/A	"277,680,006,930.75"	11.39	1.17	2.25
424	VGI	7.75	7.85	7.7	7.8	0.65	"4,056,300.00"	"31,526,850.00"	"4,056,300.00"	"31,526,850.00"	0.05	"66,742,104,764.40"	67.36	4.83	0.97
425	NSI	76.75	77.25	76.25	77.25	0.65	400	"30,775.00"	400	"30,775.00"	N/A	"1,073,775,000.00"	11.13	0.81	6.47
426	PJW	1.56	1.6	1.55	1.57	0.64	"868,600.00"	"1,374,955.00"	"868,657.00"	"1,375,048.01"	0.15	"901,305,513.65"	N/A	0.89	N/A
427	BCPG	16	16.3	15.9	16.1	0.63	"5,370,900.00"	"86,549,720.00"	"5,371,091.00"	"86,552,781.00"	0.27	"32,148,922,106.00"	12.88	2.12	3.78
428	TISCO	81	81.75	80.75	81.5	0.62	"4,054,900.00"	"329,897,000.00"	"4,055,078.00"	"329,911,497.50"	0.51	"65,252,618,356.00"	9.58	1.82	6.13
429	S	3.28	3.34	3.28	3.3	0.61	"11,348,300.00"	"37,548,660.00"	"11,348,363.00"	"37,548,867.72"	0.17	"22,617,273,673.50"	13.83	1.33	N/A
430	SAT	16.5	16.8	16.3	16.6	0.61	"584,000.00"	"9,688,740.00"	"584,061.00"	"9,689,751.90"	0.14	"7,058,218,640.40"	7.5	1.06	5.42
431	SPACK	1.65	1.66	1.66	1.66	0.61	100	166	100	166	N/A	"498,000,000.00"	N/A	1.14	1.69
432	NNCL	1.63	1.64	1.63	1.64	0.61	"332,900.00"	"543,901.00"	"332,900.00"	"543,901.00"	0.02	"3,359,137,973.68"	9.56	1.13	4.88
433	BANPU	16.2	16.4	16.1	16.3	0.62	"18,761,800.00"	"305,114,140.00"	"18,762,079.00"	"305,118,696.00"	0.36	"84,139,385,894.50"	11.39	1.02	3.99
434	LUXF	8.5	8.6	8.5	8.55	0.59	"30,100.00"	"257,850.00"	"30,100.00"	"257,850.00"	0.02	"1,680,075,000.00"	-	0.74	7.13
435	MFC	16.8	16.9	16.8	16.9	0.6	"3,100.00"	"52,140.00"	"3,100.00"	"52,140.00"	N/A	"2,122,905,465.20"	11.29	1.82	8.28
436	MJD	3.46	3.48	3.38	3.48	0.58	"165,000.00"	"567,454.00"	"165,001.00"	"567,457.82"	0.02	"2,994,233,547.72"	5.15	0.72	N/A
437	ROH	43.25	43.5	42.5	43.5	0.58	"1,100.00"	"47,375.00"	"1,100.00"	"47,375.00"	N/A	"4,078,125,000.00"	29.15	4.61	2.7
438	ASN	3.54	3.56	3.56	3.56	0.56	100	356	100	356	N/A	"462,800,000.00"	25.19	1.89	2.92
439	CHAYO	3.68	3.76	3.66	3.7	0.54	"1,268,800.00"	"4,709,976.00"	"1,268,820.00"	"4,710,049.20"	0.23	"2,072,000,000.00"	26.79	2.85	1.35
440	FPI	1.82	1.85	1.8	1.83	0.55	"29,500.00"	"53,508.00"	"29,500.00"	"53,508.00"	N/A	"2,768,844,779.22"	17.82	1.66	4.64
441	AMC	1.83	1.84	1.81	1.84	0.55	"33,500.00"	"61,111.00"	"33,500.00"	"61,111.00"	0.01	"883,377,149.68"	10.75	0.47	6.52
442	SIMAT	1.88	1.89	1.85	1.89	0.53	"360,300.00"	"675,854.00"	"360,301.00"	"675,856.00"	0.07	"990,944,204.67"	N/A	1.04	N/A
443	SPALI	18.8	19.1	18.8	18.9	0.53	"2,919,500.00"	"55,350,960.00"	"2,919,644.00"	"55,353,685.70"	0.14	"40,504,199,337.00"	8.05	1.29	N/A
444	MK	3.72	3.74	3.72	3.74	0.54	"376,600.00"	"1,404,836.00"	"376,600.00"	"1,404,836.00"	0.04	"3,710,118,061.98"	11.59	0.57	5.88
445	TOP01P1904A	1.91	1.98	1.87	1.92	0.52	"3,672,800.00"	"6,989,662.00"	"3,672,800.00"	"6,989,662.00"	9.09	"77,568,000.00"	-	-	-
446	PICO	3.84	3.86	3.86	3.86	0.52	700	"2,702.00"	700	"2,702.00"	N/A	"831,036,997.74"	11.48	1.66	3.24
447	PTT-F	48	48.5	48	48.25	0.52	"156,900.00"	"7,600,750.00"	"156,900.00"	"7,600,750.00"	0.25	"1,392,446,067,187.50"	10.28	1.63	4.1
448	BTS	9.5	9.6	9.4	9.55	0.53	"27,801,300.00"	"263,963,980.00"	"27,802,495.00"	"263,975,321.80"	0.23	"113,123,278,534.00"	25.62	2.87	3.66
449	E1VFVN3001	19.6	19.7	19.5	19.7	0.51	"215,033.00"	"4,214,810.50"	"215,033.00"	"4,214,810.50"	0.11	-	-	-	N/A
450	HUMAN	9.75	9.8	9.65	9.8	0.51	"507,700.00"	"4,946,190.00"	"507,702.00"	"4,946,209.65"	0.07	"6,664,000,000.00"	49.14	6.08	0.31
451	WHABT	9.95	10	10	10	0.5	100	"1,000.00"	100	"1,000.00"	N/A	"2,020,000,000.00"	-	0.98	5.43
452	MBAX	3.94	4	3.92	3.96	0.51	"51,400.00"	"202,904.00"	"51,400.00"	"202,904.00"	0.03	"759,904,758.36"	9.56	1.49	8.08
453	WIIK	1.97	1.98	1.95	1.98	0.51	"49,500.00"	"97,786.00"	"49,500.00"	"97,786.00"	0.01	"742,378,295.34"	25.19	0.81	5.56
454	LRH	49.25	49.5	49.25	49.5	0.51	"30,300.00"	"1,499,225.00"	"30,301.00"	"1,499,278.00"	0.02	"8,250,793,699.50"	60.18	0.67	0.77
455	VIBHA	1.99	2.02	1.98	2	0.5	"3,610,500.00"	"7,206,181.00"	"3,610,529.00"	"7,206,239.40"	0.03	"26,398,736,500.00"	31.4	3.7	1.8
456	RATCH	51.25	51.5	50.75	51.5	0.49	"1,048,800.00"	"53,599,425.00"	"1,048,880.00"	"53,603,495.75"	0.07	"74,675,000,000.00"	13.28	1.25	4.66
457	WHA	4.2	4.28	4.2	4.22	0.48	"46,405,700.00"	"196,715,132.00"	"46,405,822.00"	"196,715,648.60"	0.32	"60,490,607,453.18"	19.18	2.36	3.3
458	COL	21.7	21.9	21.7	21.8	0.46	"51,100.00"	"1,114,020.00"	"51,100.00"	"1,114,020.00"	0.01	"13,952,000,000.00"	19.12	2.3	1.83
459	ILINK	4.28	4.32	4.26	4.3	0.47	"275,800.00"	"1,183,786.00"	"275,800.00"	"1,183,786.00"	0.05	"2,337,618,997.50"	25.97	0.86	0.86
460	SST	4.2	4.3	4.08	4.22	0.48	"16,600.00"	"69,452.00"	"16,609.00"	"69,489.50"	N/A	"1,923,509,013.06"	46.93	0.84	N/A
461	AMATA	21.6	21.9	21.5	21.7	0.46	"10,171,200.00"	"220,370,920.00"	"10,171,330.00"	"220,373,750.00"	0.95	"23,153,900,000.00"	19.01	1.8	2.44
462	BPP	22.1	22.4	22	22.2	0.45	"1,083,300.00"	"24,044,670.00"	"1,083,354.00"	"24,045,858.30"	0.04	"67,732,681,740.00"	18.16	1.7	2.7
463	SAUCE	22.1	22.2	22.2	22.2	0.45	200	"4,440.00"	200	"4,440.00"	N/A	"7,992,000,000.00"	19.45	3.5	4.5
464	FUTUREPF	22.7	22.8	22.8	22.8	0.44	"2,000.00"	"45,600.00"	"2,000.00"	"45,600.00"	N/A	"12,074,107,080.00"	-	1.77	6.15
465	TOG	4.56	4.58	4.58	4.58	0.44	300	"1,374.00"	300	"1,374.00"	N/A	"2,172,376,440.00"	18.12	1.24	7.64
466	TIP	22.6	22.7	22.6	22.7	0.44	"129,800.00"	"2,942,110.00"	"129,823.00"	"2,942,633.00"	0.02	"13,620,000,000.00"	9.21	1.75	6.06
467	BDMS	22.7	22.8	21.8	22.8	0.44	"266,225,100.00"	"5,932,840,050.00"	"266,230,451.00"	"5,932,959,376.90"	1.76	"357,252,197,894.40"	36.17	5.17	1.56
468	BEC	4.8	4.96	4.82	4.82	0.42	"11,897,300.00"	"58,181,106.00"	"11,897,346.00"	"58,181,332.76"	0.59	"9,640,000,000.00"	N/A	1.53	2.07
469	VNG	4.9	4.92	4.88	4.92	0.41	"96,300.00"	"472,214.00"	"96,300.00"	"472,214.00"	0.01	"7,709,673,829.92"	N/A	0.99	9.15
470	RCL	4.82	4.88	4.82	4.84	0.41	"48,500.00"	"234,740.00"	"48,500.00"	"234,740.00"	0.01	"4,011,150,000.00"	65.27	0.48	2.07
471	TH100	4.98	5	5	5	0.4	"1,000.00"	"5,000.00"	"1,000.00"	"5,000.00"	N/A	"2,230,698,875.00"	-	0.92	3
472	TMW	63.25	64	63.5	63.5	0.4	"10,000.00"	"637,200.00"	"10,113.00"	"644,423.00"	0.03	"2,533,650,000.00"	6.73	1.17	4.02
473	SORKON	67.25	67.5	67.5	67.5	0.37	"1,000.00"	"67,500.00"	"1,002.00"	"67,640.75"	N/A	"2,182,950,000.00"	11.13	2.12	3.26
474	SCB	135.5	137	133.5	136	0.37	"5,137,300.00"	"694,711,850.00"	"5,137,649.00"	"694,759,155.50"	0.15	"461,784,449,720.00"	10.96	1.24	4.04
475	PTTGC	71.25	71.75	71	71.5	0.35	"8,132,600.00"	"579,963,675.00"	"8,133,176.00"	"580,004,727.00"	0.18	"322,382,711,865.50"	7.07	1.1	5.92
476	CPN	75.25	75.5	74.75	75.5	0.33	"3,737,200.00"	"281,271,625.00"	"3,737,554.00"	"281,298,338.00"	0.08	"338,844,000,000.00"	30.77	5.3	1.85
477	KDH	93.5	93.75	93	93.75	0.27	"3,700.00"	"346,400.00"	"3,729.00"	"349,111.50"	0.02	"1,817,271,187.50"	116.51	4.09	N/A
478	ERW13C1906A	0.36	0.36	0.36	0.36	-	"865,400.00"	"311,544.00"	"865,400.00"	"311,544.00"	0.72	"43,200,000.00"	-	-	-
479	BCPG28C1906A	0.37	0.38	0.36	0.37	-	"3,552,200.00"	"1,329,463.00"	"3,552,200.00"	"1,329,463.00"	4.44	"29,600,000.00"	-	-	-
480	AMAT28C1906A	0.49	0.51	0.49	0.49	-	"2,785,400.00"	"1,411,345.00"	"2,785,400.00"	"1,411,345.00"	3.71	"36,750,000.00"	-	-	-
481	KKP13C1906A	0.5	0.51	0.48	0.5	-	"23,531,300.00"	"11,712,228.00"	"23,531,300.00"	"11,712,228.00"	19.61	"60,000,000.00"	-	-	-
482	S5001P1904B	0.86	0.92	0.8	0.86	-	"2,856,700.00"	"2,419,054.00"	"2,856,700.00"	"2,419,054.00"	4.07	"60,406,400.00"	-	-	-
483	PTTE01P1907A	0.88	0.89	0.87	0.88	-	"5,823,400.00"	"5,116,977.00"	"5,823,400.00"	"5,116,977.00"	8.02	"63,914,400.00"	-	-	-
484	PTTE01C1907B	0.71	0.74	0.71	0.71	-	"17,483,300.00"	"12,822,713.00"	"17,483,300.00"	"12,822,713.00"	19.2	"64,666,800.00"	-	-	-
485	PTTE01C1907A	0.84	0.88	0.84	0.84	-	"6,939,800.00"	"6,000,327.00"	"6,939,800.00"	"6,000,327.00"	6.94	"84,000,000.00"	-	-	-
486	BJC13C1906A	0.22	0.23	0.2	0.22	-	"10,153,200.00"	"2,215,117.00"	"10,153,200.00"	"2,215,117.00"	8.46	"26,400,000.00"	-	-	-
487	UV13C1908A	0.3	0.31	0.3	0.3	-	"5,782,500.00"	"1,759,966.00"	"5,782,500.00"	"1,759,966.00"	2.89	"60,000,000.00"	-	-	-
488	SPAL11C1910A	0.37	0.38	0.37	0.37	-	"1,860,000.00"	"702,750.00"	"1,860,000.00"	"702,750.00"	4.13	"16,650,000.00"	-	-	-
489	SCB11C1910A	0.44	0.47	0.43	0.44	-	"1,496,900.00"	"675,174.00"	"1,496,900.00"	"675,174.00"	1.66	"39,600,000.00"	-	-	-
490	PTTE11C1910A	0.62	0.64	0.62	0.62	-	"2,100,000.00"	"1,328,250.00"	"2,100,000.00"	"1,328,250.00"	2.33	"55,800,000.00"	-	-	-
491	MEGA11C1910A	0.31	0.31	0.31	0.31	-	"1,120,000.00"	"347,200.00"	"1,120,000.00"	"347,200.00"	2.21	"15,717,000.00"	-	-	-
492	KKP28C1905A	0.26	0.27	0.25	0.26	-	"3,153,000.00"	"829,364.00"	"3,153,000.00"	"829,364.00"	7.51	"10,920,000.00"	-	-	-
493	ITD28C1907A	0.19	0.19	0.19	0.19	-	"204,600.00"	"38,874.00"	"204,600.00"	"38,874.00"	0.17	"22,800,000.00"	-	-	-
494	CPN11C1910A	0.49	0.49	0.48	0.49	-	"2,520,000.00"	"1,231,650.00"	"2,520,000.00"	"1,231,650.00"	3.43	"35,966,000.00"	-	-	-
495	BLA28C1906A	0.18	0.18	0.17	0.18	-	"3,262,100.00"	"568,818.00"	"3,262,100.00"	"568,818.00"	3.55	"16,560,000.00"	-	-	-
496	BLA13C1908A	0.24	0.25	0.22	0.24	-	"9,694,100.00"	"2,304,611.00"	"9,694,100.00"	"2,304,611.00"	4.85	"48,000,000.00"	-	-	-
497	S5013P1903C	0.5	0.56	0.45	0.5	-	"961,778,400.00"	"483,797,274.00"	"975,778,400.00"	"490,795,774.00"	232.33	"210,000,000.00"	-	-	-
498	S5013C1903C	0.98	1.05	0.9	0.98	-	"241,640,200.00"	"236,531,328.00"	"253,640,200.00"	"248,263,328.00"	115.29	"215,600,000.00"	-	-	-
499	ITD19C1906A	0.22	0.22	0.22	0.22	-	"46,200.00"	"10,164.00"	"46,200.00"	"10,164.00"	0.04	"26,400,000.00"	-	-	-
500	GGC19C1906A	0.63	0.67	0.63	0.63	-	"2,230,000.00"	"1,455,800.00"	"2,230,000.00"	"1,455,800.00"	1.86	"75,600,000.00"	-	-	-
501	ERW19C1906A	0.51	0.51	0.51	0.51	-	"50,000.00"	"25,500.00"	"50,000.00"	"25,500.00"	0.04	"61,200,000.00"	-	-	-
502	BCPG19C1906A	0.35	0.37	0.35	0.35	-	"1,176,600.00"	"424,726.00"	"1,176,600.00"	"424,726.00"	0.98	"42,000,000.00"	-	-	-
503	BCP19C1906A	0.29	0.31	0.29	0.29	-	"837,400.00"	"250,844.00"	"837,400.00"	"250,844.00"	0.7	"34,800,000.00"	-	-	-
504	TOP13C1905A	0.6	0.62	0.56	0.6	-	"14,770,200.00"	"8,957,888.00"	"14,770,200.00"	"8,957,888.00"	12.31	"72,000,000.00"	-	-	-
505	S5028P1903B	0.54	0.59	0.5	0.54	-	"223,750,400.00"	"122,393,768.00"	"223,750,400.00"	"122,393,768.00"	422.17	"28,620,000.00"	-	-	-
506	BTS28C1905A	0.21	0.22	0.2	0.21	-	"6,767,600.00"	"1,413,094.00"	"6,767,600.00"	"1,413,094.00"	13.54	"10,500,000.00"	-	-	-
507	WHAU13C1905A	0.22	0.22	0.22	0.22	-	"2,013,000.00"	"442,860.00"	"2,013,000.00"	"442,860.00"	1.68	"26,400,000.00"	-	-	-
508	TISC19C1906A	0.74	0.76	0.74	0.74	-	"6,912,200.00"	"5,223,772.00"	"6,912,200.00"	"5,223,772.00"	5.76	"88,800,000.00"	-	-	-
509	RS19C1906A	0.45	0.47	0.45	0.45	-	"845,100.00"	"391,723.00"	"845,100.00"	"391,723.00"	0.7	"54,000,000.00"	-	-	-
510	LPN19C1906A	0.22	0.22	0.22	0.22	-	"1,417,200.00"	"311,784.00"	"1,417,200.00"	"311,784.00"	1.18	"26,400,000.00"	-	-	-
511	BEM13C1905A	0.45	0.45	0.43	0.45	-	"72,707,100.00"	"32,033,374.00"	"72,707,100.00"	"32,033,374.00"	60.59	"54,000,000.00"	-	-	-
512	BCPG13C1905A	0.24	0.26	0.24	0.24	-	"40,258,900.00"	"10,045,669.00"	"40,258,900.00"	"10,045,669.00"	33.55	"28,800,000.00"	-	-	-
513	PTTE13C1905A	0.41	0.43	0.4	0.41	-	"18,511,700.00"	"7,720,852.00"	"18,511,700.00"	"7,720,852.00"	15.43	"49,200,000.00"	-	-	-
514	AOT13P1905A	0.32	0.34	0.31	0.32	-	"6,130,300.00"	"2,019,774.00"	"6,130,300.00"	"2,019,774.00"	5.11	"38,400,000.00"	-	-	-
515	S5028C1903B	0.46	0.5	0.41	0.46	-	"165,215,800.00"	"75,936,225.00"	"173,215,800.00"	"79,633,225.00"	314.94	"25,300,000.00"	-	-	-
516	BANP28C1905A	0.14	0.14	0.14	0.14	-	"2,004,800.00"	"280,672.00"	"2,004,800.00"	"280,672.00"	2.86	"9,800,000.00"	-	-	-
517	CPN06C1903A	0.25	0.25	0.24	0.25	-	"1,618,500.00"	"401,565.00"	"1,618,500.00"	"401,565.00"	2.7	"15,000,000.00"	-	-	-
518	BDMS06C1903A	0.02	0.03	0.01	0.02	-	"2,074,200.00"	"41,485.00"	"2,074,200.00"	"41,485.00"	3.46	"1,200,000.00"	-	-	-
519	BCH06C1903A	0.03	0.03	0.02	0.03	-	"2,343,800.00"	"60,981.00"	"2,343,800.00"	"60,981.00"	3.91	"1,800,000.00"	-	-	-
520	TPIP13C1905A	0.15	0.15	0.15	0.15	-	"369,400.00"	"55,410.00"	"369,400.00"	"55,410.00"	0.31	"18,000,000.00"	-	-	-
521	GLOW13C1905A	0.66	0.67	0.66	0.66	-	"2,631,600.00"	"1,748,914.00"	"2,631,600.00"	"1,748,914.00"	2.19	"79,200,000.00"	-	-	-
522	SPAL19C1906A	0.29	0.3	0.29	0.29	-	"508,800.00"	"151,727.00"	"508,800.00"	"151,727.00"	0.42	"34,800,000.00"	-	-	-
523	LH19C1906A	0.37	0.37	0.37	0.37	-	"270,000.00"	"99,900.00"	"270,000.00"	"99,900.00"	0.23	"44,400,000.00"	-	-	-
524	RS13C1905A	0.27	0.29	0.27	0.27	-	"7,184,600.00"	"2,047,596.00"	"7,184,600.00"	"2,047,596.00"	5.99	"32,400,000.00"	-	-	-
525	GPSC28C1904A	0.26	0.27	0.25	0.26	-	"3,892,600.00"	"985,820.00"	"3,892,600.00"	"985,820.00"	7.49	"13,520,000.00"	-	-	-
526	ESSO28C1904A	0.09	0.1	0.09	0.09	-	"1,637,800.00"	"156,780.00"	"1,637,800.00"	"156,780.00"	1.49	"9,900,000.00"	-	-	-
527	BDMS08C1905A	0.08	0.08	0.06	0.08	-	"2,563,900.00"	"185,298.00"	"2,563,900.00"	"185,298.00"	3.2	"6,400,000.00"	-	-	-
528	IVL01P1905A	0.66	0.68	0.63	0.66	-	"12,637,000.00"	"8,356,896.00"	"12,637,000.00"	"8,356,896.00"	20.59	"40,497,600.00"	-	-	-
529	COM713C1904A	0.04	0.04	0.03	0.04	-	"476,500.00"	"19,030.00"	"476,500.00"	"19,030.00"	0.4	"4,800,000.00"	-	-	-
530	TCAP11C1909A	0.25	0.25	0.25	0.25	-	"164,000.00"	"41,000.00"	"164,000.00"	"41,000.00"	0.38	"10,925,000.00"	-	-	-
531	SPAL13C1904A	0.12	0.12	0.12	0.12	-	"3,215,800.00"	"385,896.00"	"3,215,800.00"	"385,896.00"	2.68	"14,400,000.00"	-	-	-
532	SGP19C1905A	0.44	0.44	0.42	0.44	-	"815,100.00"	"350,779.00"	"815,100.00"	"350,779.00"	0.68	"52,800,000.00"	-	-	-
533	PTTG11C1909A	0.42	0.43	0.42	0.42	-	"238,100.00"	"100,281.00"	"238,100.00"	"100,281.00"	0.26	"37,800,000.00"	-	-	-
534	PTT11C1909A	0.25	0.25	0.24	0.25	-	"1,425,000.00"	"350,200.00"	"1,425,000.00"	"350,200.00"	1.58	"22,500,000.00"	-	-	-
535	BCP11C1909A	0.18	0.19	0.18	0.18	-	"1,080,000.00"	"200,400.00"	"1,080,000.00"	"200,400.00"	1.58	"12,312,000.00"	-	-	-
536	AOT13C1904A	0.47	0.48	0.45	0.47	-	"9,839,600.00"	"4,550,417.00"	"9,839,600.00"	"4,550,417.00"	8.2	"56,400,000.00"	-	-	-
537	TQM	22.7	22.9	22.5	22.7	-	"908,300.00"	"20,632,830.00"	"908,300.00"	"20,632,830.00"	0.3	"6,810,000,000.00"	20.55	-	N/A
538	S5013P1903B	0.64	0.7	0.58	0.64	-	"717,001,400.00"	"462,472,317.00"	"723,501,400.00"	"466,503,817.00"	226.09	"204,800,000.00"	-	-	-
539	S5013C1903B	0.62	0.68	0.56	0.62	-	"656,925,100.00"	"406,236,962.00"	"662,425,100.00"	"409,585,462.00"	207.01	"198,400,000.00"	-	-	-
540	CPN28C1904A	0.17	0.17	0.16	0.17	-	"5,489,200.00"	"925,034.00"	"5,489,200.00"	"925,034.00"	15.68	"5,950,000.00"	-	-	-
541	BPP28C1904A	0.13	0.14	0.13	0.13	-	"1,433,600.00"	"193,540.00"	"1,433,600.00"	"193,540.00"	2.61	"7,150,000.00"	-	-	-
542	BCP28C1904A	0.14	0.16	0.14	0.14	-	"2,926,600.00"	"444,216.00"	"2,926,600.00"	"444,216.00"	2.84	"14,420,000.00"	-	-	-
543	S5001C1903F	0.43	0.47	0.39	0.43	-	"154,481,200.00"	"66,013,227.00"	"154,481,200.00"	"66,013,227.00"	154.48	"43,000,000.00"	-	-	-
544	GPSC01C1905A	0.61	0.63	0.61	0.61	-	"3,762,600.00"	"2,311,729.00"	"3,762,600.00"	"2,311,729.00"	3.99	"57,462,000.00"	-	-	-
545	TOP13C1904A	0.23	0.25	0.21	0.23	-	"5,282,600.00"	"1,233,913.00"	"5,282,600.00"	"1,233,913.00"	4.4	"27,600,000.00"	-	-	-
546	PTTE13C1904A	0.2	0.22	0.2	0.2	-	"12,006,800.00"	"2,520,268.00"	"12,006,800.00"	"2,520,268.00"	10.01	"24,000,000.00"	-	-	-
547	GLOB23C1906A	0.24	0.24	0.23	0.24	-	"400,000.00"	"95,000.00"	"400,000.00"	"95,000.00"	0.8	"12,000,000.00"	-	-	-
548	S5006C1903C	0.75	0.81	0.7	0.75	-	"10,383,100.00"	"7,968,118.00"	"10,383,100.00"	"7,968,118.00"	17.31	"45,000,000.00"	-	-	-
549	S5006C1903B	0.52	0.57	0.48	0.52	-	"754,000.00"	"386,365.00"	"754,000.00"	"386,365.00"	1.26	"31,200,000.00"	-	-	-
550	PTTE06C1903A	0.1	0.12	0.1	0.1	-	"140,900.00"	"14,298.00"	"140,900.00"	"14,298.00"	0.23	"6,000,000.00"	-	-	-
551	IRPC06C1903A	0.07	0.07	0.07	0.07	-	"900,000.00"	"63,000.00"	"900,000.00"	"63,000.00"	1.5	"4,200,000.00"	-	-	-
552	PTTE23C1906A	0.22	0.22	0.21	0.22	-	"230,100.00"	"49,922.00"	"230,100.00"	"49,922.00"	0.46	"11,000,000.00"	-	-	-
553	MTC23C1906A	0.27	0.27	0.26	0.27	-	"251,000.00"	"66,770.00"	"251,000.00"	"66,770.00"	0.5	"13,500,000.00"	-	-	-
554	BDMS23C1906A	0.2	0.21	0.16	0.2	-	"599,700.00"	"116,245.00"	"599,700.00"	"116,245.00"	1.2	"10,000,000.00"	-	-	-
