<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
QH01C1903A,20190110,0.02,0.02,0.02,0.02,800
MONO08C1906A,20190110,0.01,0.01,0.01,0.01,286000
DIGI-W2,20190110,0.01,0.01,0.01,0.01,845400
DTAC06P1903A,20190110,0.25,0.25,0.25,0.25,12399900
THAI01C1901A,20190110,0.03,0.03,0.03,0.03,900
DTAC01P1902B,20190110,0.11,0.11,0.11,0.11,30847200
DTAC13P1903A,20190110,0.21,0.21,0.21,0.21,13929000
DTAC27P1903A,20190110,0.20,0.20,0.20,0.20,920000
KCE01C1903B,20190110,0.02,0.02,0.02,0.02,900
TRUE13P1901A,20190110,0.12,0.12,0.12,0.12,24804000
DTAC08P1902A,20190110,0.02,0.02,0.02,0.02,3847300
BDMS11C1904A,20190110,0.02,0.02,0.02,0.02,253200
AQ,20190110,0.02,0.02,0.02,0.02,5869300
DTAC01P1902A,20190110,0.34,0.34,0.34,0.34,40826100
AJA-W1,20190110,0.12,0.12,0.12,0.12,48145100
TRUE08P1902A,20190110,0.19,0.19,0.19,0.19,6874000
BDMS07C1904A,20190110,0.03,0.03,0.03,0.03,500700
PTTE28C1902A,20190110,0.03,0.03,0.03,0.03,32500
CPF19C1901A,20190110,0.03,0.03,0.03,0.03,3066000
AJA,20190110,0.18,0.18,0.18,0.18,108162900
WORK-W1,20190110,2.70,2.70,2.70,2.70,200
AP13C1904A,20190110,0.08,0.08,0.08,0.08,649200
QH19C1904A,20190110,0.08,0.08,0.08,0.08,4160000
TU13C1902A,20190110,0.08,0.08,0.08,0.08,4771200
CPAL08C1902A,20190110,0.04,0.04,0.04,0.04,30000
CPF08C1901A,20190110,0.04,0.04,0.04,0.04,870100
CENT11C1904A,20190110,0.04,0.04,0.04,0.04,500
MPG,20190110,0.16,0.16,0.16,0.16,3802000
HANA28C1904A,20190110,0.09,0.09,0.09,0.09,2574100
CPAL01C1901A,20190110,0.09,0.09,0.09,0.09,15087100
KBAN19P1904A,20190110,0.64,0.64,0.64,0.64,20568800
KBAN01P1901A,20190110,1.01,1.01,1.01,1.01,8051600
DTAC01P1905A,20190110,0.80,0.80,0.80,0.80,32728100
PIMO-W1,20190110,0.99,0.99,0.99,0.99,97890100
KCE13C1905A,20190110,0.19,0.19,0.19,0.19,5676900
ADVA11P1905A,20190110,0.24,0.24,0.24,0.24,2754300
KBAN28P1904A,20190110,0.49,0.49,0.49,0.49,10861000
KBAN13P1905A,20190110,0.74,0.74,0.74,0.74,45992200
ROBI13C1902A,20190110,0.15,0.15,0.15,0.15,3158600
HANA08C1903A,20190110,0.05,0.05,0.05,0.05,3500
TRUE01P1902B,20190110,0.35,0.35,0.35,0.35,11756800
HANA11C1904A,20190110,0.05,0.05,0.05,0.05,600
CPAL19C1902A,20190110,0.21,0.21,0.21,0.21,11132500
ADVA19P1904A,20190110,0.37,0.37,0.37,0.37,10844300
TRUE19P1903A,20190110,0.27,0.27,0.27,0.27,2112000
INTU42P1904A,20190110,0.33,0.33,0.33,0.33,1813600
TU06C1902A,20190110,0.11,0.11,0.11,0.11,220000
AP19C1906A,20190110,0.23,0.23,0.23,0.23,4977000
CPAL28C1904A,20190110,0.42,0.42,0.42,0.42,13042800
STA19C1903B,20190110,0.06,0.06,0.06,0.06,713000
CPAL08C1902B,20190110,0.24,0.24,0.24,0.24,4934800
ROBI19C1901A,20190110,0.24,0.24,0.24,0.24,1974600
MINT19C1901A,20190110,0.06,0.06,0.06,0.06,627600
ADVA13P1904A,20190110,0.62,0.62,0.62,0.62,23812000
HANA01C1905B,20190110,0.13,0.13,0.13,0.13,8062200
ADVA01P1902B,20190110,0.52,0.52,0.52,0.52,15419800
CPAL13C1901A,20190110,0.13,0.13,0.13,0.13,7462300
SCC01P1901A,20190110,0.13,0.13,0.13,0.13,15271100
TFG-W1,20190110,0.39,0.39,0.39,0.39,147400
MINT01C1901A,20190110,0.20,0.20,0.20,0.20,13338300
KBAN01P1904B,20190110,0.61,0.61,0.61,0.61,28375000
ADVA01P1905B,20190110,0.56,0.56,0.56,0.56,18288400
KCE28C1905A,20190110,0.21,0.21,0.21,0.21,6783500
MINT13C1904A,20190110,0.14,0.14,0.14,0.14,16429900
KTC27P1903A,20190110,0.14,0.14,0.14,0.14,1650100
BTS28C1902A,20190110,0.07,0.07,0.07,0.07,2567200
BANP24P1901A,20190110,0.07,0.07,0.07,0.07,100
QH11C1910A,20190110,0.22,0.22,0.22,0.22,2918900
TU24C1904A,20190110,0.22,0.22,0.22,0.22,1500
ADVA11P1910A,20190110,0.60,0.60,0.60,0.60,4550000
CPF13C1905A,20190110,0.15,0.15,0.15,0.15,11322700
SPRC11C1909A,20190110,0.08,0.08,0.08,0.08,100
PTT23C1906A,20190110,0.24,0.24,0.24,0.24,100
AOT19P1903A,20190110,0.08,0.08,0.08,0.08,50000
HMPR01P1902A,20190110,0.24,0.24,0.24,0.24,7291600
CPAL07C1902A,20190110,0.24,0.24,0.24,0.24,29000
B-W4,20190110,0.08,0.08,0.08,0.08,363900
HANA19C1906A,20190110,0.25,0.25,0.25,0.25,548500
CGD-W4,20190110,0.25,0.25,0.25,0.25,218500
TCAP01C1901B,20190110,0.17,0.17,0.17,0.17,2624000
TRUE01P1902A,20190110,0.60,0.60,0.60,0.60,8518100
GOLDPF,20190110,6.45,6.45,6.45,6.45,100
ROBI06C1903A,20190110,0.26,0.26,0.26,0.26,1120000
SCC24P1909A,20190110,0.44,0.44,0.44,0.44,72200
CPAL24C1904A,20190110,0.62,0.62,0.62,0.62,149100
ADVA01P1905A,20190110,1.07,1.07,1.07,1.07,12834300
SPRC19C1905A,20190110,0.09,0.09,0.09,0.09,1471800
HANA01C1905A,20190110,0.18,0.18,0.18,0.18,3585200
CENT01C1903B,20190110,0.18,0.18,0.18,0.18,6702900
BEAU01P1902A,20190110,1.26,1.26,1.26,1.26,26379300
CPAL01C1904B,20190110,0.46,0.46,0.46,0.46,28755400
ADVA01P1902A,20190110,0.83,0.83,0.83,0.83,12235800
KCE19C1906A,20190110,0.37,0.37,0.37,0.37,1902000
CPAL42C1904A,20190110,0.37,0.37,0.37,0.37,1013700
KCE11C1906A,20190110,0.28,0.28,0.28,0.28,660500
KCE01C1906B,20190110,0.28,0.28,0.28,0.28,9097000
INTU11P1905A,20190110,0.28,0.28,0.28,0.28,1965000
TFG-W2,20190110,0.28,0.28,0.28,0.28,46400
KBAN01P1907A,20190110,0.95,0.95,0.95,0.95,14051000
CPAL06C1903A,20190110,0.38,0.38,0.38,0.38,4507600
KCE24C1906A,20190110,0.39,0.39,0.39,0.39,40100
MINT11C1910A,20190110,0.30,0.30,0.30,0.30,2690000
PTT01C1901B,20190110,0.10,0.10,0.10,0.10,27793100
MILL-W5,20190110,0.10,0.10,0.10,0.10,499900
PTG13C1904A,20190110,0.41,0.41,0.41,0.41,35016300
BH01P1905A,20190110,0.82,0.82,0.82,0.82,50919400
ROBI01C1903B,20190110,0.31,0.31,0.31,0.31,5473600
