<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190104,10.85,10.94,10.77,10.94,21200
BMSCG,20190104,7.51,7.51,7.42,7.48,29700
BMSCITH,20190104,11.8,11.97,11.75,11.97,553900
BSET100,20190104,9.93,10.05,9.87,10.05,209700
CHINA,20190104,4.52,4.58,4.52,4.58,19700
ENGY,20190104,5.86,5.86,5.86,5.86,100
ESET50,20190104,5.44,5.5,5.44,5.5,900
GLD,20190104,1.78,1.78,1.77,1.77,948200
TDEX,20190104,10.36,10.46,10.32,10.45,271000
TGOLDETF,20190104,3.78,3.9,3.77,3.84,357000
TH100,20190104,4.98,4.98,4.98,4.98,200
2S,20190104,2.38,2.38,2.32,2.32,15400
7UP,20190104,0.44,0.44,0.42,0.43,6898700
A,20190104,6.65,6.65,6.6,6.6,15000
AAV,20190104,3.94,4,3.88,4,19088900
ABICO,20190104,4.26,4.28,4.26,4.28,3700
ABM,20190104,0.88,0.88,0.86,0.87,141900
ABPIF,20190104,6.1,6.2,6.1,6.2,76700
ACAP,20190104,2.62,2.76,2.62,2.72,10373500
ACC,20190104,0.5,0.5,0.49,0.5,309200
ADB,20190104,0.81,0.82,0.8,0.81,286400
ADVANC,20190104,172.5,178,172.5,177,7425100
AEC,20190104,0.48,0.48,0.46,0.47,241800
AEONTS,20190104,186,189.5,185,186.5,320200
AF,20190104,0.63,0.64,0.61,0.64,40400
AGE,20190104,0.87,0.9,0.87,0.9,944600
AH,20190104,18.3,18.6,18.1,18.3,1066500
AHC,20190104,17.4,17.5,17.4,17.5,20600
AIMIRT,20190104,10.4,10.4,10.3,10.3,22300
AIRA,20190104,1.52,1.52,1.51,1.51,2300
AIT,20190104,19.7,19.8,19.7,19.8,85300
AJ,20190104,8.25,8.25,8,8.25,25700
AJA,20190104,0.22,0.22,0.19,0.19,41510200
AKP,20190104,1.96,1.97,1.95,1.95,55400
AKR,20190104,0.8,0.8,0.78,0.79,624000
ALLA,20190104,1.37,1.37,1.3,1.33,576400
ALT,20190104,2.84,2.86,2.84,2.84,1100
ALUCON,20190104,178,178,178,178,500
AMA,20190104,4.8,4.8,4.52,4.66,165400
AMANAH,20190104,1.36,1.37,1.35,1.36,1213200
AMARIN,20190104,4.88,5,4.8,4.98,286500
AMATA,20190104,20.4,21.4,20.1,21.4,24725200
AMATAR,20190104,10.7,10.8,10.7,10.8,52100
AMATAV,20190104,4.42,4.44,4.36,4.38,376000
AMC,20190104,1.77,1.78,1.77,1.78,400
ANAN,20190104,3.06,3.12,2.98,3.12,15545500
AOT,20190104,63.5,64.5,63.25,64.5,13012700
AP,20190104,6.1,6.15,5.9,6.15,9356800
APCO,20190104,4.04,4.06,4.04,4.06,9300
APCS,20190104,4.7,4.82,4.54,4.82,128400
APEX,20190104,0.2,0.2,0.19,0.2,405200
APURE,20190104,1.23,1.27,1.23,1.27,443000
AQ,20190104,0.03,0.03,0.02,0.03,8291900
AQUA,20190104,0.39,0.4,0.39,0.39,775200
ARIP,20190104,0.4,0.4,0.39,0.4,16200
ARROW,20190104,7.7,7.75,7.7,7.75,25000
AS,20190104,0.77,0.81,0.77,0.81,300
ASAP,20190104,3.1,3.14,3.08,3.1,451400
ASEFA,20190104,4.74,4.76,4.74,4.76,300
ASIA,20190104,6.55,6.55,6.55,6.55,2200
ASIAN,20190104,6.9,7.1,6.9,7.05,937400
ASIMAR,20190104,1.88,1.9,1.87,1.89,97200
ASK,20190104,23.5,23.7,23.4,23.7,48800
ASN,20190104,3.34,3.42,3.34,3.42,4500
ASP,20190104,3.1,3.12,3.08,3.12,1097500
ATP30,20190104,1.51,1.51,1.48,1.51,125700
AU,20190104,6.3,6.8,6.3,6.7,1983400
AUCT,20190104,5.05,5.1,5,5.05,308000
AYUD,20190104,40.5,40.75,40.5,40.5,4600
B,20190104,0.39,0.4,0.38,0.39,63700
B-WORK,20190104,10.8,10.8,10.8,10.8,50800
BA,20190104,11.6,11.9,11.6,11.8,694600
BAFS,20190104,32.75,32.75,32.5,32.75,60000
BANPU,20190104,14.7,15.7,14.5,15.7,49137800
BAY,20190104,37.25,37.5,37,37.5,394600
BBL,20190104,204,205,201,203,4970100
BCH,20190104,15.9,15.9,14.9,15.5,55437700
BCP,20190104,31.5,32.25,31.25,32.25,4509100
BCPG,20190104,15.3,15.6,15.2,15.6,11441900
BCT,20190104,45.5,45.5,45.5,45.5,8700
BDMS,20190104,24.8,25.25,24.7,25,40687400
BEAUTY,20190104,7.15,7.5,6.9,7.5,133032800
BEC,20190104,4.8,4.8,4.66,4.7,7071700
BEM,20190104,9.9,9.95,9.7,9.75,77143900
BFIT,20190104,17.7,17.8,16.9,17.6,42600
BGC,20190104,10.1,10.2,10,10.1,586000
BGRIM,20190104,28,28.5,27.75,28,18004100
BGT,20190104,1.03,1.04,1,1.02,100400
BH,20190104,190.5,190.5,186,187,1467500
BIG,20190104,1.22,1.23,1.15,1.18,7068900
BIZ,20190104,2.24,2.28,2.22,2.22,207000
BJC,20190104,47.25,48.25,46.25,48,14715600
BJCHI,20190104,1.89,1.9,1.85,1.88,45200
BKD,20190104,3.06,3.1,3.06,3.1,82700
BKI,20190104,329,332,329,329,1600
BKKCP,20190104,12.3,12.4,12.3,12.4,29200
BLA,20190104,26.5,27,26,27,336900
BLAND,20190104,1.53,1.54,1.52,1.54,5584200
BM,20190104,2.94,2.94,2.9,2.94,55400
BOFFICE,20190104,12.8,13,12.8,12.8,918500
BOL,20190104,2.04,2.04,2.04,2.04,4000
BPP,20190104,22,22.1,21.6,22.1,1252700
BR,20190104,3.92,3.92,3.88,3.92,318400
BROCK,20190104,2.02,2.02,2,2,56100
BROOK,20190104,0.42,0.43,0.42,0.43,350900
BRR,20190104,5.75,5.8,5.75,5.8,46800
BRRGIF,20190104,9.9,9.9,9.9,9.9,111100
BSBM,20190104,0.94,0.94,0.93,0.93,20300
BSM,20190104,0.51,0.51,0.49,0.5,274900
BTS,20190104,9.5,9.55,9.45,9.5,9437400
BTSGIF,20190104,11.7,11.8,11.7,11.7,1274200
BTW,20190104,1.31,1.31,1.28,1.31,15000
BWG,20190104,1.02,1.03,1.01,1.02,11669800
