<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SMIT,20190107,5.85,5.95,5.85,5.9,42200
SMK,20190107,40,40,39.25,39.25,2100
SMM,20190107,2.68,2.72,2.58,2.68,18221400
SMPC,20190107,11.9,12,11.9,11.9,97700
SMT,20190107,1.95,1.97,1.91,1.91,41500
SNC,20190107,13.4,13.7,13.4,13.6,130500
SNP,20190107,19.2,19.3,19.2,19.3,600
SOLAR,20190107,2.04,2.1,2.02,2.04,373900
SONIC,20190107,1.33,1.34,1.3,1.31,772800
SORKON,20190107,67.75,67.75,67.25,67.25,600
SPA,20190107,12,12.9,12,12.4,1915700
SPACK,20190107,1.74,1.74,1.67,1.67,27100
SPALI,20190107,18.8,18.9,18.5,18.8,2601900
SPC,20190107,52.75,52.75,52.75,52.75,700
SPCG,20190107,18.2,18.4,18.2,18.4,157400
SPF,20190107,23.1,23.2,23,23.1,194800
SPG,20190107,12.8,13.8,12.8,13.8,500
SPI,20190107,71.25,72,71.25,72,400
SPORT,20190107,0.14,0.14,0.14,0.14,72300
SPPT,20190107,3.92,3.98,3.92,3.98,29900
SPRC,20190107,10,10.3,9.95,10,22571700
SPVI,20190107,1.07,1.09,1.07,1.07,468200
SQ,20190107,2.14,2.16,2.12,2.14,405900
SR,20190107,1.88,2.06,1.87,1.88,230000
SRICHA,20190107,11.1,11.1,10.7,10.8,54400
SRIPANWA,20190107,10.8,10.8,10.7,10.8,185900
SSC,20190107,34,34.25,34,34.25,300
SSP,20190107,7.4,7.4,7.3,7.35,437800
SSPF,20190107,9.45,10,9.25,9.25,17700
SSSC,20190107,2.72,2.74,2.7,2.72,136200
SST,20190107,4.22,4.22,4.04,4.12,5500
SSTPF,20190107,6.3,6.35,6.3,6.35,6300
SSTRT,20190107,6,6,6,6,2000
STA,20190107,14.5,14.7,14.3,14.4,7137700
STANLY,20190107,213,215,213,214,5000
STAR,20190107,4.68,4.72,4.62,4.7,12500
STEC,20190107,21.5,21.8,21.4,21.7,11887100
STI,20190107,5.25,5.25,5.1,5.1,258300
STPI,20190107,4.26,4.26,4.22,4.24,451900
SUC,20190107,45.5,46,45.5,46,31600
SUN,20190107,2.86,2.92,2.84,2.84,680600
SUPER,20190107,0.54,0.56,0.53,0.54,215558000
SUSCO,20190107,2.44,2.52,2.44,2.5,662700
SUTHA,20190107,3.8,3.8,3.72,3.74,8900
SVH,20190107,440,442,440,442,200
SVI,20190107,4.8,4.84,4.72,4.84,3720100
SVOA,20190107,1.2,1.24,1.2,1.21,1212700
SWC,20190107,20,20,19,20,159400
SYMC,20190107,4.82,4.86,4.82,4.86,400
SYNEX,20190107,11.6,12.2,11.6,12.1,1294500
SYNTEC,20190107,2.7,2.78,2.7,2.76,1101500
T,20190107,0.05,0.06,0.05,0.06,1870700
TACC,20190107,2.28,2.32,2.24,2.28,499600
TAE,20190107,2.04,2.06,2.04,2.06,156200
TAKUNI,20190107,0.74,0.79,0.74,0.76,246300
TAPAC,20190107,5.5,6.05,5.45,6.05,830200
TASCO,20190107,14.7,14.8,14.6,14.7,2300700
TC,20190107,3.1,3.12,3.1,3.12,2200
TCAP,20190107,50.5,51.75,50.5,51.75,2430000
TCC,20190107,0.39,0.42,0.39,0.41,7038000
TCCC,20190107,28.5,29,28.5,28.75,3000
TCJ,20190107,5.05,5.05,5.05,5.05,7800
TCMC,20190107,1.63,1.66,1.61,1.62,2107000
TEAM,20190107,0.89,0.9,0.89,0.9,9600
TEAMG,20190107,1.8,1.82,1.8,1.81,488000
TFFIF,20190107,10.1,10.2,10.1,10.2,2749800
TFG,20190107,3.1,3.12,3.08,3.1,345100
