<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DCC,20190107,2,2.04,1.99,2.02,1806600
DCON,20190107,0.5,0.5,0.49,0.49,544400
DCORP,20190107,0.61,0.76,0.61,0.76,21193200
DDD,20190107,19.2,20.2,18.9,19.2,6689900
DELTA,20190107,68.75,69.25,68.75,68.75,608300
DEMCO,20190107,3.04,3.08,2.96,2.98,676300
DIF,20190107,14.4,14.6,14.4,14.6,2446000
DIGI,20190107,0.2,0.2,0.19,0.19,79000
DIMET,20190107,0.86,0.87,0.86,0.86,233200
DNA,20190107,0.39,0.39,0.37,0.37,7172700
DOD,20190107,13.2,13.2,13,13.1,841800
DREIT,20190107,5.1,5.1,5.1,5.1,1000
DRT,20190107,5.3,5.35,5.3,5.35,238200
DTAC,20190107,45,45.5,44.5,45,5099900
DTC,20190107,9.95,9.95,9.65,9.85,23500
EA,20190107,44.5,45.5,44.5,45,15897400
EASON,20190107,2.14,2.18,2.14,2.14,28600
EASTW,20190107,10.8,10.8,10.7,10.8,274200
ECF,20190107,2.28,2.3,2.24,2.26,1610200
ECL,20190107,1.65,1.69,1.65,1.68,2732000
EE,20190107,0.59,0.64,0.58,0.59,11126000
EFORL,20190107,0.05,0.06,0.05,0.06,3528000
EGATIF,20190107,11.3,11.3,11.2,11.3,408200
EGCO,20190107,251,251,246,247,1309600
EIC,20190107,0.05,0.05,0.04,0.04,1100
EKH,20190107,5.55,5.65,5.55,5.55,61200
EMC,20190107,0.27,0.27,0.27,0.27,246400
EPCO,20190107,2.56,2.6,2.56,2.6,335000
EPG,20190107,6.65,6.95,6.65,6.7,9511800
ERW,20190107,6.45,6.85,6.45,6.7,8377100
ESSO,20190107,10.8,11.3,10.7,11.2,23911900
ESTAR,20190107,0.52,0.53,0.52,0.53,60100
ETE,20190107,0.88,0.99,0.88,0.96,2687500
EVER,20190107,0.53,0.54,0.52,0.54,22258900
F&D,20190107,17.9,17.9,17.9,17.9,600
FANCY,20190107,0.67,0.8,0.67,0.76,3033900
FC,20190107,0.37,0.37,0.36,0.36,314700
FLOYD,20190107,1.76,1.9,1.76,1.77,1786600
FMT,20190107,25,25,25,25,500
FN,20190107,1.4,1.44,1.4,1.43,472300
FNS,20190107,3.6,3.6,3.58,3.58,14600
FOCUS,20190107,1.59,1.59,1.56,1.58,122600
FORTH,20190107,5.9,5.95,5.85,5.95,34800
FPI,20190107,1.8,1.83,1.8,1.83,102700
FSMART,20190107,5.9,6,5.85,5.9,495500
FSS,20190107,1.85,1.85,1.84,1.84,78600
FTE,20190107,1.99,2.08,1.99,2.08,148700
FUTUREPF,20190107,23,23.1,22.6,22.6,149400
FVC,20190107,0.69,0.7,0.68,0.68,50500
GC,20190107,5.05,5.05,5.05,5.05,100
GCAP,20190107,2.36,2.46,2.34,2.4,526100
GEL,20190107,0.29,0.3,0.29,0.29,864500
GENCO,20190107,0.73,0.75,0.73,0.74,533200
GFPT,20190107,12,12.4,11.9,12.3,3078000
GGC,20190107,10.3,10.4,10.1,10.1,1720700
GIFT,20190107,3.78,3.82,3.76,3.76,10600
GJS,20190107,0.13,0.13,0.12,0.13,536600
GL,20190107,5.65,5.65,5.5,5.55,129200
GLAND,20190107,3.02,3.06,3,3,342600
GLANDRT,20190107,12,12,11.8,11.8,867700
GLOBAL,20190107,18.1,18.1,16.9,17.6,32753800
GLOW,20190107,88.25,88.5,88,88.5,1021700
GOLD,20190107,6.85,7.1,6.8,6.8,5013300
GOLDPF,20190107,6.45,6.45,6.45,6.45,150000
GPI,20190107,2.18,2.22,2.18,2.18,290800
GPSC,20190107,57.75,59,57.75,58.5,3918000
GRAMMY,20190107,5.8,5.85,5.75,5.8,12700
GRAND,20190107,0.84,0.86,0.82,0.84,2665500
GREEN,20190107,1.11,1.11,1.07,1.07,185800
GTB,20190107,0.55,0.58,0.55,0.57,75700
GULF,20190107,83,84,82.75,83.75,5869800
GUNKUL,20190107,2.96,2.98,2.92,2.98,19726100
GVREIT,20190107,14.8,14.8,14.5,14.6,581400
HANA,20190107,30.5,30.75,30.25,30.5,3483200
HARN,20190107,2.5,2.52,2.5,2.52,31000
HFT,20190107,2.9,2.94,2.9,2.94,146500
HMPRO,20190107,14.8,15.3,14.6,15,39778800
HPF,20190107,5.15,5.15,5.15,5.15,2000
HPT,20190107,0.79,0.81,0.79,0.81,119900
HREIT,20190107,6.75,6.75,6.7,6.7,467900
HTC,20190107,13.8,13.9,13.6,13.8,34100
HTECH,20190107,5.1,5.3,5,5.05,876500
HUMAN,20190107,9.55,9.95,9.55,9.9,813000
HYDRO,20190107,1.2,1.2,1.16,1.19,397300
ICC,20190107,42,42,42,42,200
ICHI,20190107,2.94,3,2.94,2.98,914600
ICN,20190107,1.73,1.8,1.71,1.77,1905700
IFS,20190107,2.98,3.04,2.98,3,163700
IHL,20190107,7.5,7.5,7.35,7.35,141700
III,20190107,5,5.05,4.96,5.05,475600
ILINK,20190107,4.2,4.3,4.2,4.28,166000
IMPACT,20190107,19.1,19.3,19.1,19.2,205500
INET,20190107,3.04,3.06,2.98,2.98,62800
INGRS,20190107,0.54,0.55,0.54,0.55,1049800
INOX,20190107,0.99,1,0.99,0.99,246100
INTUCH,20190107,48.75,49,48.25,49,4725600
IRC,20190107,20.7,20.9,20.7,20.8,1000
IRCP,20190107,0.59,0.61,0.59,0.6,197500
IRPC,20190107,5.9,6,5.9,5.95,71683100
IT,20190107,3.28,3.3,3.28,3.3,48600
ITD,20190107,2.2,2.28,2.18,2.26,16130600
ITEL,20190107,3.2,3.3,3.2,3.2,204100
IVL,20190107,55,55.25,54,54.25,14852600
J,20190107,1.38,1.38,1.38,1.38,2100
JAS,20190107,4.56,4.72,4.54,4.7,25442000
JASIF,20190107,10,10,9.95,9.95,5157000
JCK,20190107,1.49,1.51,1.49,1.51,113100
JCKH,20190107,0.5,0.58,0.5,0.53,7900
JCT,20190107,84,84,84,84,100
JKN,20190107,7.9,8.2,7.9,8.15,2524000
JMART,20190107,4.88,5.1,4.88,4.96,1951500
JMT,20190107,10.8,11.1,10.8,11,736700
JSP,20190107,0.46,0.47,0.46,0.46,1723900
JTS,20190107,1.36,1.38,1.32,1.32,283800
JUBILE,20190107,14.7,14.7,14.6,14.7,83100
JUTHA,20190107,0.62,0.62,0.62,0.62,7000
JWD,20190107,7.05,7.05,6.95,7,272000
KAMART,20190107,3.46,3.52,3.46,3.5,627400
KASET,20190107,1.83,1.84,1.83,1.84,3300
KBANK,20190107,186,188,185.5,188,7171800
KBS,20190107,3.88,3.96,3.88,3.96,11700
KCAR,20190107,10.8,10.8,10.8,10.8,29800
KCE,20190107,25.5,27,25.5,26.75,4852000
