<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190102,10.88,11.13,10.88,10.93,76400
BMSCG,20190102,7.48,7.55,7.48,7.53,67600
BMSCITH,20190102,11.86,11.93,11.85,11.86,426900
BSET100,20190102,9.99,10.03,9.96,9.98,262000
CHINA,20190102,4.57,4.57,4.5,4.54,80100
EBANK,20190102,5.58,5.59,5.58,5.59,400
ECOMM,20190102,7.88,7.93,7.88,7.93,1600
EICT,20190102,4.24,4.24,4.24,4.24,200
ENY,20190102,6.94,6.94,6.9,6.9,500
GLD,20190102,1.75,1.77,1.75,1.77,317900
TDEX,20190102,10.45,10.49,10.42,10.46,99700
TGOLDETF,20190102,3.82,3.83,3.81,3.81,72400
2S,20190102,2.36,2.36,2.3,2.32,49300
7UP,20190102,0.43,0.44,0.43,0.43,502400
A,20190102,6.65,6.65,6.65,6.65,30000
AAV,20190102,4.2,4.22,4.1,4.12,8992300
ABICO,20190102,4.22,4.44,4.2,4.28,31900
ABM,20190102,0.89,0.9,0.88,0.88,137400
ABPIF,20190102,6.15,6.15,6.1,6.1,72500
ACAP,20190102,2.78,2.8,2.58,2.6,2713900
ACC,20190102,0.51,0.51,0.49,0.5,172700
ADB,20190102,0.79,0.82,0.79,0.82,112900
ADVANC,20190102,173,174.5,171.5,173.5,3190700
AEC,20190102,0.49,0.49,0.49,0.49,15000
AEONTS,20190102,181.5,184,180,183,195700
AF,20190102,0.66,0.66,0.63,0.63,40400
AGE,20190102,0.86,0.87,0.86,0.87,539700
AH,20190102,19.1,19.1,18.4,18.5,948500
AHC,20190102,17.6,17.7,17.6,17.7,11700
AIMIRT,20190102,10.2,10.3,10.2,10.3,55600
AIRA,20190102,1.68,1.68,1.53,1.54,29800
AIT,20190102,19.8,20,19.8,19.8,107200
AJ,20190102,8,8.25,8,8.25,33000
AJA,20190102,0.19,0.23,0.19,0.2,166367800
AKP,20190102,1.98,1.98,1.96,1.96,158400
AKR,20190102,0.8,0.8,0.79,0.79,503000
ALLA,20190102,1.36,1.38,1.36,1.37,10100
ALT,20190102,2.86,2.9,2.82,2.82,5600
ALUCON,20190102,177,177,174,174,700
AMA,20190102,4.54,5,4.54,4.78,493200
AMANAH,20190102,1.39,1.39,1.37,1.37,951300
AMARIN,20190102,4.68,5.1,4.68,4.76,27000
AMATA,20190102,20.5,20.8,20.4,20.7,5960900
AMATAR,20190102,10.8,10.8,10.8,10.8,1400
AMATAV,20190102,4.46,4.54,4.46,4.46,160100
AMC,20190102,1.77,1.78,1.77,1.78,6600
ANAN,20190102,3.28,3.3,3.08,3.12,15543300
AOT,20190102,64.75,64.75,64.25,64.25,10022000
AP,20190102,6.05,6.1,5.9,6.05,6914100
APCO,20190102,4.04,4.12,4.04,4.06,50800
APCS,20190102,4.76,4.78,4.76,4.78,3000
APEX,20190102,0.19,0.2,0.19,0.2,603900
APURE,20190102,1.22,1.24,1.22,1.23,151800
AQ,20190102,0.03,0.03,0.02,0.03,4797900
AQUA,20190102,0.39,0.4,0.39,0.39,2399900
ARIP,20190102,0.39,0.4,0.38,0.39,170800
ARROW,20190102,7.75,7.75,7.7,7.7,5100
AS,20190102,0.79,0.79,0.77,0.77,4000
ASAP,20190102,3.1,3.2,3.08,3.1,775600
ASEFA,20190102,4.74,4.78,4.72,4.76,21900
ASIA,20190102,6.45,6.45,6.4,6.45,17600
ASIAN,20190102,6.95,6.95,6.85,6.9,266900
ASIMAR,20190102,1.86,1.9,1.84,1.87,352800
ASK,20190102,23.3,23.7,23.3,23.7,43400
ASN,20190102,3.58,3.58,3.5,3.52,11700
ASP,20190102,3.08,3.1,3.06,3.1,833900
ATP30,20190102,1.49,1.51,1.49,1.49,118800
AU,20190102,6.05,6.35,6.05,6.15,791900
AUCT,20190102,5.1,5.2,5,5.1,173900
AYUD,20190102,39.75,40.75,39.75,40.75,11300
B,20190102,0.4,0.4,0.38,0.39,78100
B-WORK,20190102,10.8,10.8,10.8,10.8,5900
BA,20190102,11.6,11.8,11.6,11.6,312800
BAFS,20190102,32.5,33.25,32.5,32.5,102800
BANPU,20190102,14.8,15.2,14.8,14.9,32314200
BAY,20190102,38.25,38.5,37.75,38,753800
BBL,20190102,204,205,203,203,1346200
BCH,20190102,16.7,16.7,15.8,16.2,31022500
BCP,20190102,31.75,32.25,31.5,31.5,1936200
BCPG,20190102,15.2,15.4,15.2,15.3,2571500
BCT,20190102,46,46,45.5,45.5,6500
BDMS,20190102,24.9,25.25,24.3,24.5,49934800
BEAUTY,20190102,6.6,7,6.55,6.85,74090800
BEC,20190102,4.82,4.94,4.82,4.9,3630300
BEM,20190102,9.75,10,9.7,9.95,74792200
BFIT,20190102,16.9,17.1,16.7,17,21500
BGC,20190102,10.4,10.4,10,10.2,1877200
BGRIM,20190102,26.5,27.25,26.5,26.5,6538300
BGT,20190102,1.01,1.05,1,1.05,371000
BH,20190102,187,190.5,187,187,978300
