<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190103,10.93,10.93,10.88,10.88,33000
BMSCG,20190103,7.56,7.57,7.53,7.54,9700
BMSCITH,20190103,11.92,11.96,11.78,11.81,382000
BSET100,20190103,10.02,10.04,9.91,10,735300
CHINA,20190103,4.54,4.54,4.5,4.52,123600
EFOOD,20190103,5.23,5.23,5.2,5.2,400
EICT,20190103,4.24,4.24,4.24,4.24,100
ENY,20190103,6.91,6.91,6.91,6.91,100
ESET50,20190103,5.49,5.49,5.46,5.46,200
GLD,20190103,1.77,1.78,1.76,1.78,226800
TDEX,20190103,10.5,10.5,10.35,10.36,455700
TGOLDETF,20190103,3.86,3.86,3.84,3.84,26300
TH100,20190103,5.4,5.4,4.6,4.6,1200
2S,20190103,2.3,2.4,2.3,2.4,58300
7UP,20190103,0.44,0.45,0.43,0.43,938400
A,20190103,6.65,6.65,6.65,6.65,20000
AAV,20190103,4.1,4.14,3.96,3.96,20469800
ABICO,20190103,4.26,4.26,4.24,4.24,14900
ABM,20190103,0.88,0.89,0.88,0.88,81600
ABPIF,20190103,6.15,6.2,6.1,6.1,185300
ACAP,20190103,2.6,2.64,2.58,2.6,1949800
ACC,20190103,0.5,0.5,0.49,0.5,34900
ADB,20190103,0.8,0.82,0.8,0.82,183200
ADVANC,20190103,174,176,172.5,172.5,5720500
AEC,20190103,0.49,0.51,0.48,0.48,110700
AEONTS,20190103,183,189.5,183,186.5,381100
AF,20190103,0.65,0.65,0.62,0.63,28800
AGE,20190103,0.87,0.89,0.86,0.86,124700
AH,20190103,18.4,18.7,18.3,18.4,861100
AHC,20190103,17.6,17.7,17.6,17.7,5400
AIMIRT,20190103,10.3,10.4,10.3,10.3,332300
AIRA,20190103,1.53,1.53,1.52,1.52,4100
AIT,20190103,19.9,19.9,19.7,19.7,32100
AJ,20190103,8.05,8.15,8,8.15,60600
AJA,20190103,0.21,0.25,0.21,0.21,69946000
AKP,20190103,1.96,1.97,1.93,1.97,473600
AKR,20190103,0.8,0.81,0.78,0.79,284100
ALLA,20190103,1.37,1.38,1.37,1.37,52100
ALT,20190103,2.82,2.9,2.82,2.84,45700
ALUCON,20190103,174,174,173,173,500
AMA,20190103,4.74,4.86,4.72,4.72,55500
AMANAH,20190103,1.38,1.39,1.36,1.37,625300
AMARIN,20190103,4.78,4.98,4.78,4.82,16300
AMATA,20190103,20.7,20.9,20.4,20.4,5614900
AMATAR,20190103,10.8,10.8,10.7,10.7,200
AMATAV,20190103,4.48,4.54,4.38,4.38,601800
AMC,20190103,1.77,1.78,1.77,1.78,14100
ANAN,20190103,3.12,3.18,3.04,3.06,12269500
AOT,20190103,64.75,64.75,63,63.5,17587200
AP,20190103,6,6.2,6,6.15,5856600
APCO,20190103,4.06,4.08,4.06,4.06,14900
APCS,20190103,4.72,4.76,4.7,4.74,51400
APEX,20190103,0.2,0.2,0.19,0.2,100400
APURE,20190103,1.24,1.25,1.23,1.23,103600
AQ,20190103,0.03,0.03,0.02,0.02,3762600
AQUA,20190103,0.4,0.4,0.39,0.4,2731300
ARIP,20190103,0.39,0.4,0.39,0.4,36100
ARROW,20190103,7.7,7.75,7.7,7.7,4000
AS,20190103,0.8,0.8,0.76,0.79,4400
ASAP,20190103,3.12,3.16,3.1,3.1,257400
ASEFA,20190103,4.72,4.78,4.7,4.76,86800
ASIA,20190103,6.45,6.6,6.45,6.55,28500
ASIAN,20190103,6.9,7.05,6.9,6.9,779500
ASIMAR,20190103,1.85,1.91,1.85,1.88,187400
ASK,20190103,23.3,23.6,23.3,23.6,45000
ASN,20190103,3.5,3.5,3.42,3.42,10100
ASP,20190103,3.1,3.12,3.08,3.1,1507100
ATP30,20190103,1.5,1.51,1.5,1.51,161100
AU,20190103,6.15,6.35,6.15,6.25,966800
AUCT,20190103,5.05,5.2,5.05,5.05,291100
AYUD,20190103,40.75,40.75,40.5,40.5,800
B,20190103,0.4,0.4,0.38,0.38,292700
B-WORK,20190103,10.8,10.8,10.8,10.8,21200
BA,20190103,11.6,11.8,11.6,11.6,618800
BAFS,20190103,32.75,32.75,32.5,32.75,21900
BANPU,20190103,15,15.1,14.6,14.7,33179800
BAY,20190103,38.25,38.5,37.25,37.25,453200
BBL,20190103,204,206,204,205,2984500
BCH,20190103,16.2,16.5,15.9,16,15601100
BCP,20190103,31.75,32,31.25,31.5,2002500
BCPG,20190103,15.3,15.9,15.2,15.3,6420500
BCT,20190103,45.5,45.5,45,45.5,16200
BDMS,20190103,24.5,24.8,24.5,24.6,28868500
BEAUTY,20190103,6.95,7.3,6.9,7.1,116680000
BEC,20190103,4.9,4.96,4.8,4.8,2418600
BEM,20190103,10.1,10.1,9.85,9.9,53059200
BFIT,20190103,17,17.8,17,17.7,78900
BGC,20190103,10.2,10.3,10.1,10.1,617600
BGRIM,20190103,26.75,28,26.5,27.75,24071400
BGT,20190103,1.04,1.04,1,1.01,221700
BH,20190103,188.5,192.5,187.5,190,1087500
BIG,20190103,1.22,1.24,1.21,1.23,1393300
BIZ,20190103,2.24,2.32,2.2,2.2,546600
BJC,20190103,49.75,50.25,47.25,47.5,19221000
BJCHI,20190103,1.88,1.94,1.88,1.91,267300
BKD,20190103,3.1,3.1,3.06,3.06,46300
BKI,20190103,329,329,328,329,2200
BKKCP,20190103,12.4,12.4,12.3,12.4,63100
BLA,20190103,26.5,26.75,26.5,26.5,579900
BLAND,20190103,1.54,1.56,1.53,1.53,10329300
BM,20190103,2.9,2.94,2.9,2.94,29400
BOFFICE,20190103,12.4,12.8,12.4,12.8,243600
BOL,20190103,2.02,2.04,2,2,70800
BPP,20190103,22.2,22.4,21.7,21.8,2094800
BR,20190103,3.88,3.94,3.88,3.9,353000
BROCK,20190103,2.04,2.06,2.02,2.02,50200
BROOK,20190103,0.43,0.43,0.42,0.42,428600
BRR,20190103,5.7,5.85,5.7,5.8,101200
BRRGIF,20190103,9.9,9.9,9.9,9.9,74000
BSBM,20190103,0.94,0.94,0.91,0.94,66700
BSM,20190103,0.52,0.52,0.5,0.51,368500
BTS,20190103,9.5,9.6,9.45,9.5,13336400
BTSGIF,20190103,11.8,11.8,11.7,11.7,1874700
BTW,20190103,1.31,1.31,1.31,1.31,200
BWG,20190103,1.02,1.04,1.01,1.02,7307300
CBG,20190103,31.5,31.5,30.5,30.75,1800900
CCET,20190103,1.73,1.75,1.73,1.74,327500
CCP,20190103,0.32,0.33,0.32,0.33,252600
CEN,20190103,1.06,1.06,1.05,1.05,672500
CENTEL,20190103,40.5,41.75,40,40,2546400
CFRESH,20190103,4.08,4.1,4.08,4.1,53800
CGD,20190103,1.31,1.31,1.29,1.29,634900
CGH,20190103,0.95,0.95,0.92,0.92,2147700
CHARAN,20190103,30.75,30.75,30.75,30.75,200
CHAYO,20190103,3.24,3.52,3.24,3.32,4592000
CHEWA,20190103,1.1,1.12,1.1,1.11,1989100
CHG,20190103,1.85,1.88,1.83,1.84,77065000
CHO,20190103,1.3,1.34,1.3,1.31,335900
CHOTI,20190103,133,133,130.5,130.5,4600
CHOW,20190103,4.08,4.08,4.02,4.06,18200
CI,20190103,1.22,1.22,1.21,1.22,37600
CIG,20190103,0.3,0.3,0.29,0.29,595200
CIMBT,20190103,0.77,0.79,0.77,0.77,273500
CITY,20190103,2.32,2.32,2.3,2.32,3800
CK,20190103,24.9,25.25,24.9,25,2409500
CKP,20190103,5.05,5.1,4.96,4.98,28634900
CM,20190103,3.98,3.98,3.9,3.9,11100
CMAN,20190103,2.52,2.52,2.48,2.5,419800
CMC,20190103,1.54,1.56,1.48,1.48,5364800
CMO,20190103,1.23,1.27,1.23,1.23,52600
CMR,20190103,2.3,2.32,2.3,2.3,66700
CNS,20190103,2.22,2.24,2.16,2.16,7500
CNT,20190103,1.92,1.94,1.92,1.92,20500
COL,20190103,22,22.2,21.9,22,33600
COLOR,20190103,1.31,1.31,1.3,1.3,183200
COM7,20190103,15,15,13,13.1,28487000
COMAN,20190103,3.14,3.36,3.14,3.16,769300
COTTO,20190103,2.02,2.06,2,2,123600
CPALL,20190103,70.5,72,70.5,70.5,59895200
CPF,20190103,25,25.25,24.7,25,16817500
CPH,20190103,6.4,6.45,6.05,6.35,29700
CPI,20190103,1.49,1.5,1.49,1.5,21600
CPL,20190103,2.82,2.88,2.82,2.88,2300
CPN,20190103,75,75,72.75,73,6909700
CPNCG,20190103,15.3,15.8,15.3,15.8,169700
CPNREIT,20190103,25.5,26.5,25.5,26.25,780200
CPR,20190103,5.25,5.4,5.2,5.2,420400
CPT,20190103,0.69,0.86,0.69,0.84,131982700
CPTGF,20190103,12.8,12.8,12.8,12.8,20700
