<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHOTI,20190110,135.00,137.00,135.00,137.00,700
EE,20190110,0.61,0.63,0.59,0.60,5525300
GFPT,20190110,12.60,13.10,12.60,12.90,3053900
LEE,20190110,2.56,2.58,2.56,2.58,11700
NER,20190110,1.82,1.82,1.79,1.79,9698400
PPPM,20190110,2.72,2.72,2.60,2.68,169500
STA,20190110,14.20,14.30,13.90,14.00,4603700
TRUBB,20190110,1.57,1.58,1.56,1.56,1
TWPC,20190110,8.00,8.00,7.90,7.95,56400
UPOIC,20190110,4.46,4.46,4.46,4.46,1300
UVAN,20190110,5.35,5.35,5.25,5.25,5
VPO,20190110,0.42,0.42,0.41,0.41,30500
APURE,20190110,135.00,137.00,135.00,137.00,700
ASIAN,20190110,0.61,0.63,0.59,0.60,5525300
BR,20190110,12.60,13.10,12.60,12.90,3053900
BRR,20190110,2.56,2.58,2.56,2.58,11700
CBG,20190110,1.82,1.82,1.79,1.79,9698400
CFRESH,20190110,2.72,2.72,2.60,2.68,169500
CM,20190110,14.20,14.30,13.90,14.00,4603700
CPF,20190110,1.57,1.58,1.56,1.56,1
CPI,20190110,8.00,8.00,7.90,7.95,56400
F&D,20190110,4.46,4.46,4.46,4.46,1300
HTC,20190110,5.35,5.35,5.25,5.25,5
ICHI,20190110,0.42,0.42,0.41,0.41,30500
KBS,20190110,0.00,0.00,0.00,0.00,0
KSL,20190110,0.00,0.00,0.00,0.00,0
KTIS,20190110,0.00,0.00,0.00,0.00,0
LST,20190110,0.00,0.00,0.00,0.00,0
M,20190110,0.00,0.00,0.00,0.00,0
MALEE,20190110,0.00,0.00,0.00,0.00,0
MINT,20190110,0.00,0.00,0.00,0.00,0
OISHI,20190110,0.00,0.00,0.00,0.00,0
OSP,20190110,0.00,0.00,0.00,0.00,0
PB,20190110,0.00,0.00,0.00,0.00,0
PM,20190110,0.00,0.00,0.00,0.00,0
PRG,20190110,0.00,0.00,0.00,0.00,0
SAPPE,20190110,0.00,0.00,0.00,0.00,0
SAUCE,20190110,0.00,0.00,0.00,0.00,0
